Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.10     0.00    21351     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::max_size(std::allocator<unsigned int> const&)
  0.00      1.10     0.00    21351     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&)
  0.00      1.10     0.00    21250     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int* const&)
  0.00      1.10     0.00    21250     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::max_size() const
  0.00      1.10     0.00    21250     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_relocate(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      1.10     0.00    21250     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_do_relocate(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&, std::integral_constant<bool, true>)
  0.00      1.10     0.00    21250     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_use_relocate()
  0.00      1.10     0.00    21250     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      1.10     0.00    21250     0.00     0.00  unsigned int* std::__relocate_a<unsigned int*, unsigned int*, std::allocator<unsigned int> >(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      1.10     0.00    21250     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<unsigned int, void>::value, unsigned int*>::type std::__relocate_a_1<unsigned int, unsigned int>(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      1.10     0.00    20948     0.00     0.00  std::char_traits<char>::eq_int_type(int const&, int const&)
  0.00      1.10     0.00    20948     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_S_is_eof(int)
  0.00      1.10     0.00    20413     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00      1.10     0.00    19517     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00      1.10     0.00    19517     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00      1.10     0.00    19517     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00      1.10     0.00    18993     0.00     0.00  std::_Rb_tree<std::pair<FLKey, FLKeyState>, std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > >, std::_Select1st<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >, std::less<std::pair<FLKey, FLKeyState> >, std::allocator<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > > >::_S_right(std::_Rb_tree_node_base*)
  0.00      1.10     0.00    18743     0.00     0.00  std::_Rb_tree<std::pair<FLKey, FLKeyState>, std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > >, std::_Select1st<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >, std::less<std::pair<FLKey, FLKeyState> >, std::allocator<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > > >::_S_left(std::_Rb_tree_node_base*)
  0.00      1.10     0.00    18536     0.00     0.00  __gnu_cxx::__normal_iterator<std::function<void ()>*, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > >::base() const
  0.00      1.10     0.00    17727     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      1.10     0.00    17727     0.00     0.00  std::vector<float, std::allocator<float> >::_M_check_len(unsigned long, char const*) const
  0.00      1.10     0.00    16220     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      1.10     0.00    16204     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >::_M_ptr()
  0.00      1.10     0.00    16204     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<FLKey, FLKeyState> const, std::vector<std::function<void ()>, std::allocator<std::function<void ()> > > > >::_M_addr()
